Build No.,CPU,Motherboard,RAM,GPU,PSU
58,AMD Ryzen 9 7900X,X670-P,32 GB (2 x 16 GB) DDR5-6400,RTX 4060 Ti,850 W
59,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
60,AMD Ryzen 7 7700X,X670E-PRO,64 GB (2 x 32 GB) DDR5-5600,RTX 4070,850 W
61,AMD Ryzen 7 7700X,B650E,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
62,AMD Ryzen 5 5600X,B550-F,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,650 W
63,AMD Ryzen 5 5600,B550,32 GB (2 x 16 GB) DDR4-3200,RTX 4060 Ti,750 W
64,AMD Ryzen 7 7700X,X670E-A,64 GB (2 x 32 GB) DDR5-6400,RTX 4090,1000 W
65,Intel Core i9-12900KF,Z69XT-B1,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,850 W
66,Intel Core i5-13600KF,Z790-PLUS,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
67,Intel Core i5-13400F,B760M,8 GB (1 x 8 GB) DDR4-3200,RTX 4070,750 W
68,AMD Ryzen 7 7700X,B650E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
69,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6400,RTX 4070,1200 W
70,AMD Ryzen 5 5600X,B550,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,850 W
71,AMD Ryzen 7 7700X,X670E-PLUS,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
72,AMD Ryzen 9 7950X,X670E-E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1200 W
73,Intel Core i9-12900KF,Z690,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
74,AMD Ryzen 5 5600,B550M,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,650 W
75,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
76,AMD Ryzen 9 7900X,B650-PLUS,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
77,Intel Core i7-13700KF,Z790-I,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,750 W
78,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1200 W
79,AMD Ryzen 5 5600X,B450I,16 GB (2 x 8 GB) DDR4-3000,RTX 4060,500 W
80,AMD Ryzen 9 7950X,X670E,96 GB (2 x 48 GB) DDR5-6000,RTX 4090,1600 W
