Build No.,CPU,Motherboard,RAM,GPU,PSU
245,Intel Core i5-13600KF,Z790-P,32 GB (2 x 16 GB) DDR5-6400,RTX 4070,850 W
246,Intel Core i7-13700KF,Z690-A,64 GB (2 x 32 GB) DDR4-3200,RTX 4090,1000 W
247,AMD Ryzen 7 7700X,B650,64 GB (2 x 32 GB) DDR5-6400,RTX 4070 Ti,850 W
248,AMD Ryzen 9 7900X,X670E-CREATOR,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
249,AMD Ryzen 7 7700X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
250,AMD Ryzen 9 7900X,B650-P,32 GB (2 x 16 GB) DDR5-6200,RTX 4070,750 W
251,AMD Ryzen 7 7700X,B650M,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
252,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,750 W
253,AMD Ryzen 9 7950X,X670E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1500 W
254,AMD Ryzen 9 7900X,X670-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
255,Intel Core i5-13400F,B760M,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,650 W
256,AMD Ryzen 9 7950X,B650-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
257,AMD Ryzen 7 7700X,B650M-PLUS,32 GB (2 x 16 GB) DDR5-5200,RTX 4070 Ti,850 W
258,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
259,Intel Core i5-13600KF,B760-I,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,750 W
260,AMD Ryzen 9 7900X,X670-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
261,AMD Ryzen 7 7700X,B650E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
262,AMD Ryzen 5 5600X,B550M-VC,16 GB (2 x 8 GB) DDR4-3600,RTX 4060 Ti,600 W
263,Intel Core i9-12900KF,Z690-PLUS,32 GB (2 x 16 GB) DDR5-5600,RTX 4060 Ti,750 W
264,AMD Ryzen 9 7950X,B650E-F,96 GB (2 x 48 GB) DDR5-5200,RTX 4090,1000 W
265,Intel Core i7-13700KF,Z790,64 GB (2 x 32 GB) DDR5-5600,RTX 4080,1000 W
266,AMD Ryzen 7 7700X,B650E,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
267,AMD Ryzen 9 7900X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
268,Intel Core i5-13600KF,B760-I,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
269,Intel Core i7-13700KF,B760M,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
270,Intel Core i7-13700KF,Z790-E,64 GB (2 x 32 GB) DDR5-6400,RTX 4080,850 W
271,Intel Core i5-13600KF,Z790-H,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
272,Intel Core i5-13600KF,Z790-CREATOR,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
273,Intel Core i5-13600KF,Z690,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
274,AMD Ryzen 7 7700X,B650M,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
275,AMD Ryzen 9 7900X,X670E,32 GB (2 x 16 GB) DDR5-7200,RTX 4070,1200 W
276,AMD Ryzen 9 7900X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
277,Intel Core i7-13700KF,Z690,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
278,Intel Core i5-13600KF,Z790M-ITX,32 GB (2 x 16 GB) DDR5-6800,RTX 4090,1000 W
279,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
280,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,750 W
281,AMD Ryzen 7 7700X,B650I,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
282,Intel Core i5-13600KF,B760-I,64 GB (2 x 32 GB) DDR5-5600,RTX 4070 Ti,850 W
283,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
284,AMD Ryzen 7 7700X,X670E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
285,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1200 W
286,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
287,AMD Ryzen 7 7700X,X670E-E,64 GB (2 x 32 GB) DDR5-5600,RTX 4080,850 W
288,Intel Core i5-13600KF,Z690-A,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,1000 W
289,Intel Core i5-13600KF,B760-I,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
290,AMD Ryzen 9 7900X,X670,64 GB (2 x 32 GB) DDR5-5600,RTX 4080,1600 W
291,AMD Ryzen 9 7900X,B650I,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
292,AMD Ryzen 9 7900X,B650E-F,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,850 W
293,Intel Core i5-13400F,B760I,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
294,AMD Ryzen 9 7900X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
295,AMD Ryzen 9 7900X,X670E-PRO,64 GB (4 x 16 GB) DDR5-5600,RTX 4090,1000 W
296,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
297,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
298,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
299,Intel Core i5-13600KF,B760,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
300,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
301,AMD Ryzen 9 7900X,B650-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
302,AMD Ryzen 7 7700X,B650M,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,750 W
303,Intel Core i5-13600KF,Z790-H,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
304,AMD Ryzen 9 7950X,B650,32 GB (2 x 16 GB) DDR5-6600,RTX 4080,850 W
305,AMD Ryzen 9 7950X,X670E-A,64 GB (2 x 32 GB) DDR5-6400,RTX 4090,1000 W
306,AMD Ryzen 5 5600X,B550,16 GB (2 x 8 GB) DDR4-3200,RTX 4070,750 W
307,AMD Ryzen 7 7700X,B650E-E,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,850 W
308,AMD Ryzen 9 7900X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
309,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1000 W
310,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
311,Intel Core i7-13700KF,Z790,64 GB (4 x 16 GB) DDR5-5600,RTX 4090,1000 W
312,Intel Core i7-13700KF,Z790-H,32 GB (2 x 16 GB) DDR5-7600,RTX 4080,1000 W
313,Intel Core i9-12900KF,Z690-P,32 GB (2 x 16 GB) DDR5-5200,RTX 4070 Ti,850 W
314,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
315,AMD Ryzen 9 7900X,X670E,64 GB (2 x 32 GB) DDR5-5200,RTX 4070 Ti,1000 W
316,Intel Core i5-13600KF,B760M-PLUS,64 GB (2 x 32 GB) DDR4-3200,RTX 4060 Ti,850 W
317,Intel Core i5-13600KF,Z790-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,650 W
318,AMD Ryzen 7 7700X,B650-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
319,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
320,AMD Ryzen 9 7950X,B650,64 GB (2 x 32 GB) DDR5-5600,RTX 4090,750 W
321,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
322,AMD Ryzen 9 7900X,X670-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
323,AMD Ryzen 7 7700X,B650,64 GB (2 x 32 GB) DDR5-6400,RTX 4080,850 W
324,Intel Core i7-13700KF,Z790-A,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,850 W
325,Intel Core i7-13700KF,Z690-P,64 GB (2 x 32 GB) DDR5-6400,RTX 4080,1000 W
326,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,850 W
327,AMD Ryzen 7 7700X,B650-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1000 W
328,Intel Core i5-13600KF,Z690,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,750 W
329,Intel Core i5-13600KF,Z790I,32 GB (2 x 16 GB) DDR5-6400,RTX 4060 Ti,850 W
330,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,1000 W
331,AMD Ryzen 7 7700X,B650I,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,750 W
332,Intel Core i7-13700F,B760,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
333,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
334,Intel Core i7-13700KF,B760,32 GB (2 x 16 GB) DDR5-5200,RTX 4070,850 W
335,AMD Ryzen 9 7900X,X670E-CREATOR,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
336,Intel Core i7-13700KF,Z790-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
337,AMD Ryzen 7 7700X,X670E-PLUS,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
338,AMD Ryzen 7 7700X,B650M,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
339,Intel Core i5-13600KF,Z790,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1200 W
340,AMD Ryzen 7 7700X,B650M-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
341,AMD Ryzen 9 7900X,B650,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,750 W
342,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
343,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1000 W
344,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1000 W
345,AMD Ryzen 9 7950X,B650M,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,850 W
346,AMD Ryzen 7 7700X,X670E,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
347,AMD Ryzen 9 7950X,X670E-CREATOR,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1600 W
348,AMD Ryzen 5 5600X,B550,16 GB (2 x 8 GB) DDR4-3600,RTX 4060 Ti,650 W
349,Intel Core i7-13700KF,Z790-PLUS,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
350,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
351,AMD Ryzen 9 7900X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1200 W
352,Intel Core i5-13600KF,B760-A,32 GB (2 x 16 GB) DDR4-4000,RTX 4070,850 W
353,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
354,AMD Ryzen 9 7900X,X670E,64 GB (4 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
355,Intel Core i7-13700F,B760M,16 GB (1 x 16 GB) DDR4-3200,RTX 4070,750 W
356,AMD Ryzen 7 7700X,B650M,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1000 W
357,AMD Ryzen 7 7700X,B650-A,32 GB (1 x 32 GB) DDR5-6000,RTX 4070,750 W
358,AMD Ryzen 9 7950X,X670E-PRO,64 GB (2 x 32 GB) DDR5-6000,RTX 4070,850 W
359,AMD Ryzen 7 7700X,B650M,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,750 W
360,AMD Ryzen 7 7700X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
361,Intel Core i5-13600KF,B760M,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
362,Intel Core i5-13400F,B760-P,32 GB (2 x 16 GB) DDR4-3200,RTX 4060,750 W
363,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6200,RTX 4070 Ti,850 W
364,AMD Ryzen 9 7950X,B650M,64 GB (2 x 32 GB) DDR5-6400,RTX 4070,850 W
365,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
366,AMD Ryzen 9 7900X,X670E-E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
367,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1300 W
368,AMD Ryzen 7 7700X,B650I,64 GB (2 x 32 GB) DDR5-5600,RTX 4070,750 W
369,Intel Core i5-13400F,B760I,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,750 W
370,AMD Ryzen 9 7900X,X670-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
371,AMD Ryzen 5 5600,B550M,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,850 W
372,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
373,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
374,AMD Ryzen 5 5600X,X570S,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,750 W
375,AMD Ryzen 7 7700X,B650I,64 GB (2 x 32 GB) DDR5-5600,RTX 4080,750 W
376,AMD Ryzen 5 5600X,X570-PLUS,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,850 W
377,Intel Core i7-13700KF,B760M-PLUS,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,850 W
378,AMD Ryzen 9 7900X,B650E-I,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
379,AMD Ryzen 7 7700X,B650E-F,16 GB (2 x 8 GB) DDR5-5200,RTX 4070 Ti,750 W
380,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1000 W
381,AMD Ryzen 9 7900X,X670E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
382,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
383,Intel Core i5-13600KF,B760M,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
384,AMD Ryzen 9 7900X,B650-A,32 GB (2 x 16 GB) DDR5-5200,RTX 4070 Ti,850 W
385,AMD Ryzen 9 7900X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
386,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-5200,RTX 4070,850 W
387,Intel Core i7-13700KF,Z690,64 GB (2 x 32 GB) DDR5-6000,RTX 4070,850 W
388,AMD Ryzen 9 7950X,X670E-I,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,750 W
389,AMD Ryzen 9 7900X,X670E-PLUS,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
390,Intel Core i5-13600KF,Z790-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
391,Intel Core i7-13700F,B760-PLUS,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,850 W
392,AMD Ryzen 9 7900X,X670E,32 GB (2 x 16 GB) DDR5-7200,RTX 4080,1200 W
393,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1200 W
394,AMD Ryzen 5 5600X,B550,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,750 W
395,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
396,AMD Ryzen 7 7700X,X670,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1000 W
397,AMD Ryzen 9 7900X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
398,AMD Ryzen 9 7900X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
399,AMD Ryzen 9 7950X,X670E-E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
400,AMD Ryzen 7 7700X,B650M,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
401,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
402,AMD Ryzen 7 7700X,B650-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
403,AMD Ryzen 5 5600X,B550-F,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,750 W
404,Intel Core i7-13700KF,Z790-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
405,Intel Core i5-13600KF,Z790-P,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,850 W
406,AMD Ryzen 5 5600X,B550,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,750 W
407,AMD Ryzen 9 7900X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
408,Intel Core i5-13600KF,B760-I,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,850 W
409,AMD Ryzen 5 5600,B550M,16 GB (2 x 8 GB) DDR4-3600,RTX 4070,650 W
410,Intel Core i5-13600KF,Z690,32 GB (4 x 8 GB) DDR4-3600,RTX 4070 Ti,750 W
411,Intel Core i7-13700KF,Z690-A,32 GB (4 x 8 GB) DDR4-3600,RTX 4080,1000 W
412,AMD Ryzen 9 7900X,B650E,32 GB (2 x 16 GB) DDR5-5200,RTX 4070,750 W
413,AMD Ryzen 9 7900X,B650M,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
414,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
415,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,1000 W
416,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1300 W
417,AMD Ryzen 9 7900X,X670E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
418,Intel Core i5-13600KF,Z690-P,16 GB (2 x 8 GB) DDR4-3600,RTX 4070 Ti,850 W
419,AMD Ryzen 9 7900X,B650E,32 GB (2 x 16 GB) DDR5-7200,RTX 4070,850 W
420,AMD Ryzen 5 5600X,B550M,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,750 W
421,AMD Ryzen 9 7950X,B650E-I,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,750 W
422,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1000 W
423,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
424,AMD Ryzen 9 7950X,X670E-CREATOR,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
425,AMD Ryzen 9 7950X,X670E-PRO,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
426,AMD Ryzen 9 7900X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
427,Intel Core i7-13700KF,Z790-A,32 GB (2 x 16 GB) DDR5-7200,RTX 4080,1000 W
428,AMD Ryzen 9 7900X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
429,AMD Ryzen 9 7950X,X670E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
430,AMD Ryzen 9 7900X,X670E-A,32 GB (2 x 16 GB) DDR5-6200,RTX 4080,1000 W
431,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,850 W
432,AMD Ryzen 9 7950X,X670E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
433,AMD Ryzen 9 7950X,X670E-PLUS,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,850 W
434,AMD Ryzen 9 7900X,X670,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
435,Intel Core i7-13700KF,Z790-I,32 GB (2 x 16 GB) DDR5-7600,RTX 4090,1000 W
436,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-6400,RTX 4070,750 W
437,Intel Core i5-13600KF,Z690,32 GB (2 x 16 GB) DDR5-4800,RTX 4070,850 W
438,Intel Core i5-13600KF,B760M,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,850 W
439,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
440,AMD Ryzen 9 7900X,X670-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
441,AMD Ryzen 5 5600X,X570-PRO,32 GB (2 x 16 GB) DDR4-3600,RTX 4080,850 W
442,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1000 W
443,AMD Ryzen 9 7900X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
444,Intel Core i7-13700KF,Z790-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
445,AMD Ryzen 9 7900X,B650-P,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
446,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
447,Intel Core i7-13700KF,Z790,64 GB (2 x 32 GB) DDR5-5200,RTX 4080,850 W
448,Intel Core i7-13700KF,Z790-A,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,850 W
449,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
450,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-6400,RTX 4090,1600 W
451,Intel Core i5-13600KF,B760-A,32 GB (4 x 8 GB) DDR4-3600,RTX 4070,850 W
452,Intel Core i5-13600KF,Z790-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
453,AMD Ryzen 9 7900X,X670E-CREATOR,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
454,AMD Ryzen 7 7700X,B650E,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,850 W
455,AMD Ryzen 9 7950X,X670E-A,32 GB (2 x 16 GB) DDR5-6200,RTX 4070 Ti,750 W
456,AMD Ryzen 5 5600,B550I,32 GB (2 x 16 GB) DDR4-3000,RTX 4070,750 W
457,Intel Core i7-13700KF,Z790-F,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
458,AMD Ryzen 7 7700X,X670E-PRO,32 GB (2 x 16 GB) DDR5-5200,RTX 4070,1000 W
459,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
460,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
461,AMD Ryzen 9 7900X,B650E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1200 W
462,AMD Ryzen 7 7700X,B650-PLUS,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
463,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,750 W
464,AMD Ryzen 9 7950X,X670E-I,64 GB (2 x 32 GB) DDR5-5600,RTX 4070 Ti,850 W
465,AMD Ryzen 5 5600X,X570S,16 GB (2 x 8 GB) DDR4-3600,RTX 4070 Ti,1000 W
466,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
467,Intel Core i7-13700KF,Z790-A,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,850 W
468,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
469,AMD Ryzen 9 7900X,X670E-PRO,32 GB (2 x 16 GB) DDR5-6200,RTX 4090,1000 W
470,AMD Ryzen 5 5600X,B550I,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,750 W
471,Intel Core i5-13600KF,B760-I,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
472,Intel Core i9-12900KF,Z690,64 GB (4 x 16 GB) DDR5-5600,RTX 4080,1000 W
473,AMD Ryzen 9 7950X,X670E-A,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1500 W
474,Intel Core i7-13700KF,Z790-A,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
475,AMD Ryzen 7 7700X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
476,AMD Ryzen 7 7700X,B650-PLUS,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
477,AMD Ryzen 9 7900X,X670E-CREATOR,64 GB (2 x 32 GB) DDR5-6000,RTX 4070 Ti,1300 W
478,AMD Ryzen 9 7900X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1200 W
479,AMD Ryzen 7 7700X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
480,AMD Ryzen 9 7950X,B650I,64 GB (2 x 32 GB) DDR5-5200,RTX 4090,850 W
481,AMD Ryzen 9 7950X,B650,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,1000 W
482,Intel Core i7-13700KF,Z790-PLUS,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
483,AMD Ryzen 5 5600X,B550-F,32 GB (4 x 8 GB) DDR4-3600,RTX 4070 Ti,750 W
484,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
485,AMD Ryzen 9 7900X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
486,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
487,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
488,AMD Ryzen 9 7900X,X670E,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
489,AMD Ryzen 9 7900X,B650E-E,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,850 W
490,AMD Ryzen 9 7900X,B650E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
491,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
492,AMD Ryzen 9 7900X,B650,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
493,AMD Ryzen 7 7700X,B650-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
494,AMD Ryzen 7 7700X,X670E,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,850 W
